date,watershed,site,species,count
2022-06-02,campbell river,hatchery fence,stl,3
2022-06-02,cowichan,mainstem fence,ck,228
2022-06-02,cowichan,mainstem fence,co,74
2022-06-02,cowichan,mainstem fence,ct,1
2022-06-02,cowichan,mainstem fence,stl,6
2022-06-02,englishman,center creek,co,72
2022-06-02,englishman,center creek,ct,4
2022-06-02,englishman,center creek,rbt,2
2022-06-02,englishman,side channel,co,2
2022-06-02,koksilah,mainstem fence,co,10
2022-06-02,koksilah,mainstem fence,rbt,4
2022-06-03,campbell river,hatchery fence,stl,5
2022-06-03,cowichan,mainstem fence,ck,236
2022-06-03,cowichan,mainstem fence,co,52
2022-06-03,cowichan,mainstem fence,stl,1
2022-06-03,englishman,center creek,co,36
2022-06-03,englishman,center creek,ct,1
2022-06-03,englishman,side channel,co,28
2022-06-03,englishman,side channel,ct,1
2022-06-03,koksilah,mainstem fence,co,10
2022-06-03,koksilah,mainstem fence,rbt,1
2022-06-04,campbell river,hatchery fence,stl,3
2022-06-04,cowichan,mainstem fence,ck,262
2022-06-04,cowichan,mainstem fence,co,56
2022-06-04,cowichan,mainstem fence,stl,1
2022-06-05,cowichan,mainstem fence,ck,466
2022-06-05,cowichan,mainstem fence,co,94
2022-06-05,cowichan,mainstem fence,stl,1
2022-06-06,campbell river,hatchery fence,stl,3
2022-06-06,cowichan,mainstem fence,ck,88
2022-06-06,cowichan,mainstem fence,co,25
2022-06-06,cowichan,mainstem fence,stl,1
2022-06-06,koksilah,mainstem fence,ck,1
2022-06-06,koksilah,mainstem fence,co,5
2022-06-06,koksilah,mainstem fence,rbt,2
2022-06-06,nanaimo,jack point,ck,494
2022-06-06,nanaimo,jack point,co,26
2022-06-06,puntledge,little mexico,ck,16
2022-06-06,puntledge,little mexico,co,257
2022-06-06,puntledge,little mexico,ct,26
2022-06-06,puntledge,little mexico,rbt,1
2022-06-07,campbell river,hatchery fence,stl,4
2022-06-07,cowichan,mainstem fence,ck,409
2022-06-07,cowichan,mainstem fence,co,55
2022-06-07,cowichan,mainstem fence,so,2
2022-06-07,cowichan,mainstem fence,stl,3
2022-06-07,koksilah,mainstem fence,rbt,2
2022-06-08,cowichan,mainstem fence,ck,159
2022-06-08,cowichan,mainstem fence,co,41
2022-06-08,cowichan,mainstem fence,rbt,1
2022-06-08,koksilah,mainstem fence,co,1
2022-06-08,koksilah,mainstem fence,rbt,2
2022-06-08,nanaimo,jack point,ck,86
2022-06-08,nanaimo,jack point,co,2
2022-06-08,puntledge,little mexico,ck,37
2022-06-08,puntledge,little mexico,co,38
2022-06-08,puntledge,little mexico,ct,4
2022-06-09,campbell river,hatchery fence,stl,5
2022-06-09,cowichan,mainstem fence,ck,400
2022-06-09,cowichan,mainstem fence,co,71
2022-06-09,englishman,center creek,co,5
2022-06-09,englishman,center creek,ct,3
2022-06-09,englishman,side channel,ck,1
2022-06-09,englishman,side channel,co,4
2022-06-10,campbell river,hatchery fence,stl,2
2022-06-10,cowichan,mainstem fence,ck,437
2022-06-10,cowichan,mainstem fence,co,33
2022-06-10,englishman,center creek,co,3
2022-06-10,englishman,center creek,ct,3
2022-06-10,englishman,center creek,rbt,1
2022-06-10,englishman,side channel,co,3
2022-06-10,englishman,side channel,ct,1
2022-06-11,campbell river,hatchery fence,stl,1
2022-06-11,cowichan,mainstem fence,ck,258
2022-06-11,cowichan,mainstem fence,co,31
2022-06-12,campbell river,hatchery fence,stl,1
2022-06-12,englishman,center creek,co,1
2022-06-12,englishman,side channel,co,4
2022-06-13,cowichan,mainstem fence,ck,208
2022-06-13,cowichan,mainstem fence,co,35
2022-06-13,cowichan,mainstem fence,stl,1
2022-06-13,puntledge,little mexico,ck,149
2022-06-13,puntledge,little mexico,co,39
2022-06-13,puntledge,little mexico,ct,6
2022-06-15,cowichan,mainstem fence,ck,188
2022-06-15,cowichan,mainstem fence,co,30
2022-06-15,cowichan,mainstem fence,ct,1
2022-06-15,nanaimo,jack point,ck,233
2022-06-15,nanaimo,jack point,co,1
2022-06-15,puntledge,little mexico,ck,435
2022-06-15,puntledge,little mexico,co,19
2022-06-15,puntledge,little mexico,ct,5
2022-06-16,nanaimo,snuneymuxw beach,ck,29
2022-06-17,cowichan,mainstem fence,ck,384
2022-06-17,cowichan,mainstem fence,co,20
2022-06-17,cowichan,mainstem fence,ct,1
2022-06-17,cowichan,mainstem fence,stl,1
2022-06-17,koksilah,mainstem fence,ck,7
2022-06-17,puntledge,little mexico,ck,724
2022-06-17,puntledge,little mexico,co,11
2022-06-17,puntledge,little mexico,ct,13
2022-06-20,cowichan,mainstem fence,ck,400
2022-06-20,cowichan,mainstem fence,co,17
2022-06-20,koksilah,mainstem fence,ck,1
2022-06-20,puntledge,little mexico,ck,163
2022-06-20,puntledge,little mexico,co,21
2022-06-20,puntledge,little mexico,ct,7
2022-06-21,koksilah,mainstem fence,ck,3
2022-06-21,nanaimo,jack point,ck,191
2022-06-21,nanaimo,newcastle,ck,163
2022-06-21,nanaimo,newcastle,co,20
2022-06-22,cowichan,mainstem fence,ck,423
2022-06-22,cowichan,mainstem fence,co,22
2022-06-22,cowichan,mainstem fence,ct,1
2022-06-22,koksilah,mainstem fence,ck,4
2022-06-22,nanaimo,newcastle,ck,1
2022-06-22,puntledge,little mexico,ck,118
2022-06-22,puntledge,little mexico,co,1
2022-06-22,puntledge,little mexico,ct,7
2022-06-23,koksilah,mainstem fence,ck,10
2022-06-23,koksilah,mainstem fence,rbt,1
2022-06-23,nanaimo,living forest,ck,98
2022-06-23,nanaimo,living forest,co,2
2022-06-23,nanaimo,living forest,rbt,3
2022-06-24,cowichan,mainstem fence,ck,452
2022-06-24,cowichan,mainstem fence,co,14
2022-06-24,cowichan,mainstem fence,ct,1
2022-06-24,cowichan,mainstem fence,so,1
2022-06-24,cowichan,mainstem fence,stl,1
2022-06-24,koksilah,mainstem fence,ck,13
2022-06-24,koksilah,mainstem fence,rbt,1
2022-06-27,koksilah,mainstem fence,ck,12
2022-06-27,puntledge,little mexico,ck,136
2022-06-27,puntledge,little mexico,co,2
2022-06-27,puntledge,little mexico,ct,2
2022-06-28,koksilah,mainstem fence,ck,38
2022-06-28,nanaimo,newcastle,ck,7
2022-06-28,puntledge,little mexico,ck,230
2022-06-28,puntledge,little mexico,co,1
2022-06-28,puntledge,little mexico,ct,7
2022-06-29,koksilah,mainstem fence,ck,15
2022-06-29,koksilah,mainstem fence,rbt,2
2022-06-30,koksilah,mainstem fence,ck,38
2022-06-30,koksilah,mainstem fence,co,2
2022-06-30,nanaimo,newcastle,ck,79
2022-06-30,nanaimo,newcastle,co,2
2022-07-01,koksilah,mainstem fence,ck,34
2022-07-01,koksilah,mainstem fence,co,2
2022-07-01,koksilah,mainstem fence,rbt,1
2022-07-04,koksilah,mainstem fence,ck,30
2022-07-04,koksilah,mainstem fence,rbt,3
2022-07-05,koksilah,mainstem fence,ck,21
2022-07-05,koksilah,mainstem fence,rbt,4
2022-07-06,koksilah,mainstem fence,ck,15
2022-07-06,koksilah,mainstem fence,co,1
2022-07-06,koksilah,mainstem fence,rbt,1
2022-07-07,koksilah,mainstem fence,ck,11
2022-07-07,koksilah,mainstem fence,co,2
2022-07-08,koksilah,mainstem fence,ck,10
2022-07-11,koksilah,mainstem fence,ck,7
2022-07-11,koksilah,mainstem fence,rbt,1
2022-07-12,koksilah,mainstem fence,ck,3
2022-07-12,koksilah,mainstem fence,rbt,1
2022-07-13,koksilah,mainstem fence,co,1
2022-07-14,koksilah,mainstem fence,ck,6
2022-07-14,koksilah,mainstem fence,co,1
2022-07-14,koksilah,mainstem fence,rbt,1
2022-07-15,koksilah,mainstem fence,ck,2
2023-03-16,koksilah,mainstem fence,rbt,1
2023-03-20,koksilah,mainstem fence,rbt,1
2023-03-21,koksilah,mainstem fence,co,1
2023-03-22,koksilah,mainstem fence,rbt,1
2023-03-23,koksilah,mainstem fence,rbt,1
2023-03-24,koksilah,mainstem fence,rbt,1
2023-03-28,koksilah,mainstem fence,co,5
2023-03-28,koksilah,mainstem fence,rbt,1
2023-03-30,koksilah,mainstem fence,co,2
2023-03-30,koksilah,mainstem fence,rbt,1
2023-03-31,koksilah,mainstem fence,co,3
2023-03-31,koksilah,mainstem fence,rbt,1
2023-04-01,koksilah,mainstem fence,co,3
2023-04-02,koksilah,mainstem fence,co,1
2023-04-03,koksilah,mainstem fence,co,1
2023-04-04,koksilah,mainstem fence,co,2
2023-04-04,koksilah,mainstem fence,rbt,1
2023-04-05,koksilah,mainstem fence,co,2
2023-04-05,koksilah,mainstem fence,rbt,1
2023-04-07,koksilah,mainstem fence,co,1
2023-04-08,koksilah,mainstem fence,co,1
2023-04-08,koksilah,mainstem fence,rbt,1
2023-04-12,koksilah,mainstem fence,co,15
2023-04-12,koksilah,mainstem fence,rbt,18
2023-04-13,koksilah,mainstem fence,rbt,3
2023-04-14,koksilah,mainstem fence,co,1
2023-04-14,koksilah,mainstem fence,rbt,8
2023-04-15,koksilah,mainstem fence,co,2
2023-04-15,koksilah,mainstem fence,rbt,4
2023-04-16,koksilah,mainstem fence,rbt,7
2023-04-17,koksilah,mainstem fence,co,3
2023-04-17,koksilah,mainstem fence,rbt,6
2023-04-18,koksilah,mainstem fence,co,5
2023-04-18,koksilah,mainstem fence,rbt,14
2023-04-20,koksilah,mainstem fence,co,9
2023-04-20,koksilah,mainstem fence,rbt,6
2023-04-21,koksilah,mainstem fence,rbt,1
2023-04-22,koksilah,mainstem fence,co,3
2023-04-22,koksilah,mainstem fence,rbt,1
2023-04-24,koksilah,mainstem fence,co,2
2023-04-24,koksilah,mainstem fence,rbt,3
2023-04-25,englishman,martindale rd,co,14
2023-04-25,englishman,martindale rd,ct,2
2023-04-25,englishman,martindale rd,rbt,1
2023-04-25,koksilah,mainstem fence,co,8
2023-04-25,koksilah,mainstem fence,rbt,4
2023-04-26,koksilah,mainstem fence,co,14
2023-04-26,koksilah,mainstem fence,rbt,10
2023-04-27,englishman,center creek,co,9
2023-04-27,englishman,center creek,ct,6
2023-04-27,englishman,center creek,rbt,6
2023-04-27,englishman,center creek,stl,4
2023-04-27,englishman,martindale rd,co,13
2023-04-27,englishman,martindale rd,ct,1
2023-04-27,englishman,martindale rd,rbt,7
2023-04-27,koksilah,mainstem fence,co,20
2023-04-27,koksilah,mainstem fence,rbt,18
2023-04-28,englishman,center creek,co,3
2023-04-28,englishman,center creek,ct,8
2023-04-28,englishman,center creek,rbt,6
2023-04-28,englishman,center creek,stl,1
2023-04-28,englishman,martindale rd,co,13
2023-04-28,englishman,martindale rd,ct,2
2023-04-28,englishman,martindale rd,rbt,2
2023-04-28,koksilah,mainstem fence,co,36
2023-04-28,koksilah,mainstem fence,rbt,21
2023-04-30,englishman,center creek,co,15
2023-04-30,englishman,center creek,ct,7
2023-04-30,englishman,center creek,rbt,16
2023-04-30,englishman,center creek,stl,7
2023-04-30,koksilah,mainstem fence,co,2
2023-04-30,koksilah,mainstem fence,rbt,3
2023-05-01,englishman,martindale rd,co,5
2023-05-01,englishman,martindale rd,ct,2
2023-05-01,koksilah,mainstem fence,co,18
2023-05-01,koksilah,mainstem fence,rbt,40
2023-05-02,black creek,sturgess bridge rd,co,300
2023-05-02,englishman,center creek,co,9
2023-05-02,englishman,center creek,ct,13
2023-05-02,englishman,center creek,rbt,4
2023-05-02,englishman,center creek,stl,1
2023-05-02,englishman,martindale rd,co,3
2023-05-02,englishman,martindale rd,rbt,1
2023-05-02,koksilah,mainstem fence,co,22
2023-05-02,koksilah,mainstem fence,rbt,49
2023-05-03,cowichan,mainstem fence,co,20
2023-05-03,koksilah,mainstem fence,co,36
2023-05-03,koksilah,mainstem fence,rbt,32
2023-05-04,englishman,center creek,co,16
2023-05-04,englishman,center creek,ct,8
2023-05-04,englishman,center creek,rbt,1
2023-05-04,englishman,martindale rd,co,7
2023-05-04,englishman,martindale rd,ct,1
2023-05-04,englishman,side channel,co,22
2023-05-04,englishman,side channel,rbt,2
2023-05-04,koksilah,mainstem fence,co,31
2023-05-04,koksilah,mainstem fence,rbt,22
2023-05-05,cowichan,mainstem fence,co,43
2023-05-05,cowichan,mainstem fence,ct,1
2023-05-05,cowichan,mainstem fence,stl,2
2023-05-05,englishman,center creek,co,22
2023-05-05,englishman,center creek,ct,18
2023-05-05,englishman,center creek,rbt,5
2023-05-05,englishman,center creek,stl,12
2023-05-05,englishman,martindale rd,co,67
2023-05-05,englishman,martindale rd,ct,5
2023-05-05,englishman,side channel,co,41
2023-05-07,campbell river,hatchery fence,co,2
2023-05-07,englishman,center creek,co,131
2023-05-07,englishman,center creek,ct,2
2023-05-07,englishman,center creek,rbt,1
2023-05-08,campbell river,hatchery fence,co,8
2023-05-08,cowichan,mainstem fence,co,104
2023-05-08,cowichan,mainstem fence,ct,1
2023-05-08,cowichan,mainstem fence,stl,2
2023-05-08,englishman,center creek,co,228
2023-05-08,englishman,center creek,ct,9
2023-05-08,englishman,center creek,rbt,4
2023-05-08,englishman,martindale rd,co,18
2023-05-08,englishman,martindale rd,ct,2
2023-05-08,englishman,martindale rd,rbt,1
2023-05-08,englishman,side channel,co,11
2023-05-08,koksilah,mainstem fence,co,48
2023-05-08,koksilah,mainstem fence,rbt,15
2023-05-09,campbell river,hatchery fence,co,5
2023-05-09,englishman,center creek,co,143
2023-05-09,englishman,martindale rd,co,6
2023-05-09,englishman,martindale rd,ct,1
2023-05-09,koksilah,mainstem fence,co,36
2023-05-09,koksilah,mainstem fence,rbt,13
2023-05-09,nanaimo,cedar bridge,co,40
2023-05-09,nanaimo,cedar bridge,rbt,1
2023-05-10,campbell river,hatchery fence,co,7
2023-05-10,cowichan,mainstem fence,ck,2
2023-05-10,cowichan,mainstem fence,co,159
2023-05-10,cowichan,mainstem fence,stl,1
2023-05-10,englishman,center creek,co,253
2023-05-10,englishman,center creek,ct,10
2023-05-10,englishman,center creek,rbt,1
2023-05-10,englishman,center creek,stl,3
2023-05-10,koksilah,mainstem fence,co,48
2023-05-10,koksilah,mainstem fence,rbt,12
2023-05-10,nanaimo,cedar bridge,co,64
2023-05-10,nanaimo,cedar bridge,stl,1
2023-05-11,campbell river,hatchery fence,co,75
2023-05-11,campbell river,hatchery fence,stl,3
2023-05-11,englishman,center creek,co,180
2023-05-11,englishman,center creek,ct,2
2023-05-11,englishman,martindale rd,co,2
2023-05-11,koksilah,mainstem fence,co,21
2023-05-11,koksilah,mainstem fence,rbt,5
2023-05-11,nanaimo,cedar bridge,co,50
2023-05-11,nanaimo,cedar bridge,ct,1
2023-05-12,campbell river,hatchery fence,co,123
2023-05-12,campbell river,hatchery fence,stl,3
2023-05-12,cowichan,mainstem fence,ck,1
2023-05-12,cowichan,mainstem fence,co,196
2023-05-12,cowichan,mainstem fence,rbt,1
2023-05-12,cowichan,mainstem fence,stl,2
2023-05-12,englishman,center creek,co,111
2023-05-12,englishman,center creek,ct,3
2023-05-12,englishman,martindale rd,co,12
2023-05-12,nanaimo,cedar bridge,co,35
2023-05-12,nanaimo,cedar bridge,ct,2
2023-05-13,campbell river,hatchery fence,co,76
2023-05-13,campbell river,hatchery fence,stl,2
2023-05-15,campbell river,hatchery fence,co,63
2023-05-15,campbell river,hatchery fence,stl,9
2023-05-15,cowichan,mainstem fence,co,162
2023-05-15,cowichan,mainstem fence,stl,2
2023-05-15,englishman,center creek,co,159
2023-05-15,englishman,center creek,ct,4
2023-05-15,englishman,center creek,rbt,1
2023-05-15,englishman,center creek,,15
2023-05-15,koksilah,mainstem fence,co,49
2023-05-15,koksilah,mainstem fence,rbt,1
2023-05-15,nanaimo,cedar bridge,ck,1
2023-05-15,nanaimo,cedar bridge,co,53
2023-05-15,nanaimo,cedar bridge,rbt,1
2023-05-15,nanaimo,cedar bridge,stl,1
2023-05-16,campbell river,hatchery fence,co,232
2023-05-16,campbell river,hatchery fence,stl,9
2023-05-16,englishman,center creek,co,259
2023-05-16,englishman,center creek,ct,2
2023-05-16,englishman,martindale rd,co,1
2023-05-16,koksilah,mainstem fence,co,44
2023-05-16,koksilah,mainstem fence,rbt,6
2023-05-16,nanaimo,cedar bridge,co,42
2023-05-16,nanaimo,cedar bridge,rbt,2
2023-05-17,campbell river,hatchery fence,co,266
2023-05-17,campbell river,hatchery fence,stl,15
2023-05-17,cowichan,mainstem fence,co,45
2023-05-17,cowichan,mainstem fence,ct,1
2023-05-17,cowichan,mainstem fence,stl,2
2023-05-17,englishman,center creek,co,518
2023-05-17,englishman,center creek,ct,5
2023-05-17,koksilah,mainstem fence,co,43
2023-05-17,koksilah,mainstem fence,rbt,12
2023-05-17,nanaimo,cedar bridge,co,20
2023-05-18,black creek,sturgess bridge rd,co,300
2023-05-18,campbell river,hatchery fence,co,193
2023-05-18,campbell river,hatchery fence,stl,15
2023-05-18,englishman,center creek,co,271
2023-05-18,englishman,center creek,ct,1
2023-05-18,koksilah,mainstem fence,co,53
2023-05-18,koksilah,mainstem fence,rbt,20
2023-05-18,nanaimo,cedar bridge,co,15
2023-05-19,campbell river,hatchery fence,co,155
2023-05-19,campbell river,hatchery fence,stl,22
2023-05-19,cowichan,mainstem fence,ck,2
2023-05-19,cowichan,mainstem fence,co,71
2023-05-19,englishman,center creek,co,20
2023-05-19,nanaimo,cedar bridge,co,35
2023-05-19,nanaimo,cedar bridge,rbt,2
2023-05-19,puntledge,little mexico,ck,6
2023-05-19,puntledge,little mexico,co,211
2023-05-20,campbell river,hatchery fence,stl,9
2023-05-21,campbell river,hatchery fence,stl,15
2023-05-22,campbell river,hatchery fence,co,31
2023-05-22,campbell river,hatchery fence,stl,9
2023-05-22,koksilah,mainstem fence,co,11
2023-05-22,koksilah,mainstem fence,rbt,4
2023-05-23,campbell river,hatchery fence,co,11
2023-05-23,campbell river,hatchery fence,stl,5
2023-05-23,cowichan,mainstem fence,co,34
2023-05-23,cowichan,mainstem fence,ct,1
2023-05-23,cowichan,mainstem fence,rbt,1
2023-05-23,koksilah,mainstem fence,co,12
2023-05-23,koksilah,mainstem fence,rbt,10
2023-05-24,campbell river,hatchery fence,co,22
2023-05-24,campbell river,hatchery fence,stl,2
2023-05-24,englishman,center creek,co,12
2023-05-24,englishman,center creek,stl,1
2023-05-24,koksilah,mainstem fence,co,3
2023-05-24,koksilah,mainstem fence,rbt,6
2023-05-25,campbell river,hatchery fence,co,4
2023-05-25,campbell river,hatchery fence,stl,2
2023-05-25,koksilah,mainstem fence,co,7
2023-05-25,koksilah,mainstem fence,rbt,6
2023-05-25,nanaimo,cedar bridge,co,5
2023-05-26,campbell river,hatchery fence,co,12
2023-05-26,campbell river,hatchery fence,stl,3
2023-05-26,cowichan,mainstem fence,ck,195
2023-05-26,cowichan,mainstem fence,co,422
2023-05-26,cowichan,mainstem fence,rbt,5
2023-05-26,cowichan,mainstem fence,stl,13
2023-05-26,englishman,center creek,,18
2023-05-26,puntledge,little mexico,ck,29
2023-05-26,puntledge,little mexico,co,56
2023-05-26,puntledge,little mexico,ct,7
2023-05-27,campbell river,hatchery fence,co,9
2023-05-27,campbell river,hatchery fence,stl,3
2023-05-27,koksilah,mainstem fence,co,2
2023-05-27,koksilah,mainstem fence,rbt,5
2023-05-29,koksilah,mainstem fence,co,2
2023-05-29,koksilah,mainstem fence,rbt,7
2023-05-30,cowichan,mainstem fence,ck,623
2023-05-30,cowichan,mainstem fence,co,353
2023-05-30,cowichan,mainstem fence,ct,3
2023-05-30,cowichan,mainstem fence,rbt,1
2023-05-30,cowichan,mainstem fence,stl,14
2023-05-30,koksilah,mainstem fence,ck,1
2023-05-30,koksilah,mainstem fence,co,4
2023-05-30,koksilah,mainstem fence,rbt,4
2023-05-30,nanaimo,cedar bridge,ck,1
2023-05-30,nanaimo,cedar bridge,co,7
2023-05-30,nanaimo,cedar bridge,ct,1
2023-05-30,nanaimo,cedar bridge,rbt,3
2023-05-31,campbell river,hatchery fence,co,2
2023-05-31,campbell river,hatchery fence,stl,1
2023-05-31,cowichan,mainstem fence,ck,496
2023-05-31,cowichan,mainstem fence,co,139
2023-05-31,cowichan,mainstem fence,stl,10
2023-05-31,englishman,center creek,co,22
2023-05-31,englishman,center creek,rbt,1
2023-05-31,koksilah,mainstem fence,rbt,3
2023-05-31,nanaimo,cedar bridge,co,7
2023-05-31,nanaimo,cedar bridge,rbt,3
2023-05-31,nanaimo,cedar bridge,stl,1
2023-05-31,puntledge,little mexico,ck,120
2023-05-31,puntledge,little mexico,co,159
2023-05-31,puntledge,little mexico,ct,11
2023-06-01,black creek,sturgess bridge rd,co,43
2023-06-01,campbell river,hatchery fence,co,2
2023-06-01,campbell river,hatchery fence,stl,1
2023-06-01,cowichan,mainstem fence,ck,729
2023-06-01,cowichan,mainstem fence,co,65
2023-06-01,cowichan,mainstem fence,stl,2
2023-06-01,koksilah,mainstem fence,ck,2
2023-06-01,koksilah,mainstem fence,rbt,4
2023-06-01,nanaimo,cedar bridge,ck,1
2023-06-01,nanaimo,cedar bridge,co,2
2023-06-01,nanaimo,cedar bridge,ct,1
2023-06-01,nanaimo,cedar bridge,rbt,13
2023-06-02,cowichan,mainstem fence,ck,474
2023-06-02,cowichan,mainstem fence,co,26
2023-06-02,cowichan,mainstem fence,rbt,1
2023-06-02,cowichan,mainstem fence,stl,5
2023-06-02,englishman,center creek,co,6
2023-06-02,nanaimo,cedar bridge,ck,1
2023-06-02,nanaimo,cedar bridge,co,1
2023-06-02,nanaimo,cedar bridge,ct,1
2023-06-02,nanaimo,cedar bridge,rbt,5
2023-06-02,nanaimo,cedar bridge,stl,1
2023-06-02,puntledge,little mexico,ck,154
2023-06-02,puntledge,little mexico,co,88
2023-06-02,puntledge,little mexico,ct,2
2023-06-04,cowichan,mainstem fence,ck,696
2023-06-04,cowichan,mainstem fence,co,66
2023-06-04,cowichan,mainstem fence,stl,2
2023-06-05,campbell river,hatchery fence,co,3
2023-06-05,campbell river,hatchery fence,stl,1
2023-06-05,cowichan,mainstem fence,ck,529
2023-06-05,cowichan,mainstem fence,co,31
2023-06-05,cowichan,mainstem fence,rbt,2
2023-06-05,cowichan,mainstem fence,so,1
2023-06-05,cowichan,mainstem fence,stl,3
2023-06-05,koksilah,mainstem fence,rbt,1
2023-06-05,puntledge,little mexico,ck,235
2023-06-05,puntledge,little mexico,co,34
2023-06-06,cowichan,mainstem fence,ck,590
2023-06-06,cowichan,mainstem fence,co,27
2023-06-06,cowichan,mainstem fence,ct,2
2023-06-06,cowichan,mainstem fence,stl,1
2023-06-06,nanaimo,cedar bridge,ck,2
2023-06-07,cowichan,mainstem fence,ck,604
2023-06-07,cowichan,mainstem fence,co,36
2023-06-07,cowichan,mainstem fence,stl,5
2023-06-07,koksilah,mainstem fence,rbt,2
2023-06-07,puntledge,little mexico,ck,532
2023-06-07,puntledge,little mexico,co,16
